"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80967,+39,3248                                ,+3,71150,6569,2136,56
Italy,41035,0,3405                                ,0,4440,33190,2498,679
Iran,18407,0,1284                                ,0,5979,11144,0,219
Spain,18077,0,831                                ,0,1107,16139,939,387
Germany,15320,0,44                                ,0,115,15161,2,183
USA,14340,+551,217                                ,+9,125,13998,64,43
France,10995,0,372                                ,0,1295,9328,1122,168
S. Korea,8652,+87,94                                ,+3,2233,6325,59,169
Switzerland,4222,0,43                                ,0,15,4164,0,488
UK,3269,0,144                                ,0,65,3060,20,48
Netherlands,2460,0,76                                ,0,2,2382,45,144
Austria,2196,+17,6                                ,0,9,2181,13,244
Belgium,1795,0,21                                ,0,165,1609,130,155
Norway,1790,0,7                                ,0,1,1782,27,330
Sweden,1439,0,11                                ,0,16,1412,21,142
Denmark,1151,0,6                                ,0,1,1144,30,199
Japan,943,0,33                                ,0,191,719,46,7
Malaysia,900,0,2                                ,0,75,823,15,28
Canada,873,0,12                                ,0,11,850,1,23
Portugal,786,0,4                                ,0,4,778,20,77
Australia,785,+29,7                                ,0,46,732,1,31
Diamond Princess,712,0,7                                ,0,527,178,14,0
Czechia,694,0,0,0,3,691,6,65
Israel,677,0,0,0,14,663,6,78
Brazil,647,+7,7                                ,0,2,638,18,3
Ireland,557,0,3                                ,0,5,549,6,113
Greece,464,0,6                                ,0,19,439,16,45
Qatar,460,0,0,0,10,450,6,160
Pakistan,454,0,2                                ,0,13,439,0,2
Finland,400,0,0,0,10,390,2,72
Turkey,359,0,4                                ,0,0,355,0,4
Poland,355,0,5                                ,0,13,337,3,9
Singapore,345,0,0,0,124,221,14,59
Chile,342,0,0,0,0,342,6,18
Luxembourg,335,0,4                                ,0,6,325,1,535
Iceland,330,0,0,0,5,325,1,967
Slovenia,319,0,1                                ,0,0,318,6,153
Indonesia,309,0,25                                ,0,15,269,0,1
Bahrain,278,0,1                                ,0,110,167,4,163
Romania,277,0,0,0,25,252,5,14
Saudi Arabia,274,0,0,0,8,266,0,8
Thailand,272,0,1                                ,0,42,229,1,4
Estonia,267,0,0,0,1,266,1,201
Ecuador,260,0,3                                ,0,1,256,2,15
Egypt,256,0,7                                ,0,42,207,0,3
Peru,234,0,3                                ,+2,1,230,7,7
Philippines,217,0,17                                ,0,8,192,1,2
Hong Kong,208,0,4                                ,0,98,106,4,28
Russia,199,0,1                                ,0,8,190,0,1
India,195,+1,4                                ,0,20,171,0,0.1
Iraq,192,0,13                                ,0,49,130,0,5
Mexico,164,+46,1                                ,0,4,159,1,1
Lebanon,157,0,4                                ,0,4,149,3,23
South Africa,150,0,0,0,0,150,0,3
Kuwait,148,0,0,0,18,130,5,35
San Marino,144,0,14                                ,0,4,126,12,4244
UAE,140,0,0,0,31,109,2,14
Panama,137,0,1                                ,0,1,135,7,32
Argentina,128,0,3                                ,0,3,122,0,3
Colombia,128,+20,0,0,1,127,0,3
Slovakia,124,0,0,0,0,124,2,23
Armenia,122,0,0,0,1,121,2,41
Croatia,110,0,1                                ,0,5,104,0,27
Taiwan,108,0,1                                ,0,26,81,0,5
Bulgaria,107,0,3                                ,0,0,104,0,15
Serbia,103,0,0,0,1,102,4,12
Uruguay,94,+15,0,0,0,94,0,27
Algeria,90,0,9                                ,0,32,49,0,2
Costa Rica,89,+2,1                                ,0,0,88,2,17
Latvia,86,0,0,0,1,85,0,46
Vietnam,85,0,0,0,16,69,0,0.9
Andorra,74,0,0,0,1,73,0,958
Hungary,73,0,1                                ,0,2,70,4,8
Brunei ,73,0,0,0,0,73,2,167
Faeroe Islands,72,0,0,0,1,71,0,1474
Jordan,69,0,0,0,1,68,0,7
Cyprus,67,0,0,0,0,67,1,55
Albania,64,0,2                                ,0,0,62,2,22
Bosnia and Herzegovina,64,0,0,0,2,62,0,20
Morocco,63,0,2                                ,0,2,59,1,2
Sri Lanka,60,0,0,0,3,57,0,3
Malta,53,0,0,0,2,51,0,120
Belarus,51,0,0,0,5,46,0,5
North Macedonia,50,0,0,0,1,49,1,24
Moldova,49,0,1                                ,0,1,47,3,12
Kazakhstan,49,+5,0,0,0,49,0,3
Lithuania,48,0,0,0,1,47,1,18
Oman,48,0,0,0,13,35,0,9
Palestine,47,0,0,0,0,47,0,9
Azerbaijan,44,0,1                                ,0,7,36,0,4
Venezuela,42,0,0,0,0,42,0,1
Georgia,40,0,0,0,1,39,1,10
Tunisia,39,0,1                                ,0,1,37,2,3
New Zealand,39,+11,0,0,0,39,0,8
Cambodia,37,0,0,0,1,36,0,2
Senegal,36,0,0,0,2,34,0,2
Dominican Republic,34,0,2                                ,0,0,32,0,3
Burkina Faso,33,0,1                                ,0,0,32,0,2
Guadeloupe,33,0,0,0,0,33,0,82
Liechtenstein,28,0,0,0,0,28,0,734
Reunion,28,0,0,0,0,28,0,31
Ukraine,26,0,3                                ,0,0,23,0,0.6
Honduras,24,+12,0,0,0,24,0,2
Martinique,23,0,1                                ,0,0,22,0,61
Uzbekistan,23,0,0,0,0,23,0,0.7
Afghanistan,22,0,0,0,1,21,0,0.6
Bangladesh,18,0,1                                ,0,3,14,0,0.1
Macao,17,0,0,0,10,7,0,26
Bolivia,17,+2,0,0,0,17,0,1
Cuba,16,+5,1                                ,0,0,15,0,1
Jamaica,15,0,1                                ,0,2,12,0,5
French Guiana,15,0,0,0,0,15,0,50
DRC,14,0,0,0,0,14,0,0.2
Cameroon,13,0,0,0,0,13,0,0.5
Maldives,13,0,0,0,0,13,0,24
Montenegro,13,0,0,0,0,13,0,21
Paraguay,13,0,0,0,0,13,1,2
Nigeria,12,0,0,0,1,11,0,0.06
Guam,12,0,0,0,0,12,0,71
Channel Islands,11,0,0,0,0,11,0,63
Ghana,11,0,0,0,0,11,0,0.4
Rwanda,11,0,0,0,0,11,0,0.8
Monaco,10,0,0,0,0,10,0,255
Gibraltar,10,0,0,0,2,8,0,297
Guatemala,9,0,1                                ,0,0,8,0,0.5
Ivory Coast,9,0,0,0,1,8,0,0.3
Ethiopia,9,+2,0,0,0,9,0,0.08
Trinidad and Tobago,9,0,0,0,0,9,0,6
Kenya,7,0,0,0,0,7,0,0.1
Mauritius,7,0,0,0,0,7,0,6
Equatorial Guinea,6,0,0,0,0,6,0,4
French Polynesia,6,0,0,0,0,6,0,21
Kyrgyzstan,6,+3,0,0,0,6,0,0.9
Mongolia,6,0,0,0,0,6,0,2
Puerto Rico,6,0,0,0,0,6,0,2
Seychelles,6,0,0,0,0,6,0,61
Tanzania,6,0,0,0,0,6,0,0.1
Guyana,5,0,1                                ,0,0,4,0,6
Aruba,5,0,0,0,1,4,0,47
Barbados,5,0,0,0,0,5,0,17
Mayotte,4,0,0,0,0,4,0,15
Cayman Islands,3,0,1                                ,0,0,2,0,46
Curacao,3,0,1                                ,0,0,2,0,18
Bahamas,3,0,0,0,0,3,0,8
Congo,3,0,0,0,0,3,0,0.5
Gabon,3,0,0,0,0,3,0,1
Namibia,3,0,0,0,0,3,0,1
St. Barth,3,0,0,0,0,3,0,304
Saint Martin,3,0,0,0,0,3,0,78
U.S. Virgin Islands,3,0,0,0,0,3,0,29
Sudan,2,0,1                                ,0,0,1,0,0.05
Benin,2,0,0,0,0,2,0,0.2
Bermuda,2,0,0,0,0,2,0,32
Greenland,2,0,0,0,0,2,0,35
Haiti,2,+2,0,0,0,2,0,0.2
Liberia,2,0,0,0,0,2,0,0.4
Mauritania,2,0,0,0,0,2,0,0.4
New Caledonia,2,0,0,0,0,2,0,7
Saint Lucia,2,0,0,0,0,2,0,11
Zambia,2,0,0,0,0,2,0,0.1
Nepal,1,0,0,0,1,0,0,0.03
Antigua and Barbuda,1,0,0,0,0,1,0,10
Bhutan,1,0,0,0,0,1,0,1
CAR,1,0,0,0,0,1,0,0.2
Chad,1,0,0,0,0,1,0,0.06
Djibouti,1,0,0,0,0,1,0,1
El Salvador,1,0,0,0,0,1,0,0.2
Fiji,1,0,0,0,0,1,0,1
Gambia,1,0,0,0,0,1,0,0.4
Guinea,1,0,0,0,0,1,0,0.08
Vatican City,1,0,0,0,0,1,0,1248
Isle of Man,1,0,0,0,0,1,0,12
Montserrat,1,0,0,0,0,1,0,200
Nicaragua,1,0,0,0,0,1,0,0.2
Niger,1,0,0,0,0,1,0,0.04
St. Vincent Grenadines,1,0,0,0,0,1,0,9
Sint Maarten,1,0,0,0,0,1,0,23
Somalia,1,0,0,0,0,1,0,0.06
Suriname,1,0,0,0,0,1,0,2
Eswatini,1,0,0,0,0,1,0,0.9
Togo,1,0,0,0,0,1,0,0.1
Total:,245749,856,10046,17,88441,147262,7378,31.5
